student	condition
Stu_01266dfb27cc2e1a087884753dbe4f67	MA
Stu_02ca2dd269971767242cb662efed293f	MA
Stu_03423a8daea9686e2e2bef2e0b279afe	I 
Stu_036cf130c564066784fa92195fe35456	MA
Stu_040b26ac6d19c064cda902dcce9d8dac	AM
Stu_054ce6d5c5c85dab35edadb95b08cacc	I 
Stu_072b48bab72ec040e4c8ce8b817c37f1	I 
Stu_074676e19476fdd30991e25d8d8a3b90	I 
Stu_0ae887347ae596ee915650ec5d24016f	MA
Stu_0b78170b3d1039a08bd3be0d6b97a802	I 
Stu_0ce0b8ab669dfe69300a13089f106823	I 
Stu_0e450348ed9f4cf3ed8c1671714e99fa	AM
Stu_1252edc864686957de4ffabd44f45455	MA
Stu_16d1ce0e6f25bb161254969ea8dd6b7a	AM
Stu_1ac61e2b0f3e27c37f7d345002ba63d8	I 
Stu_1fc429ceb289d8aefb38f576c5793b9d	I 
Stu_2000f3eb618680dcd3952802cfc0c986	I 
Stu_24d8a3a4800b56474dfd41d39f9c60e1	AM
Stu_27758498bfd0f7e3cde907d3a5428787	I 
Stu_2baa255b056ef8c574977650fffed08a	AM
Stu_2bbf290661e4191c6ac3f732dfade202	I 
Stu_2bff1d8e5577c7bac94bed0ae2d2637d	I 
Stu_30389189957ab18bd03f82cc8f41c27b	MA
Stu_347d5ef9d9f6350c326980de1667836e	AM
Stu_386b7ee5948bcb72e2f487c40228e356	I 
Stu_397bf4526800167e0ec3beb9a64f8df4	I 
Stu_3a32cb4b8432b585a37dd99ead8c4489	I 
Stu_3d55f39ebf2e2c223861e543337f6849	I 
Stu_41bb1e2dfd7315b2e31f5f45d0d6e6b2	I 
Stu_42b234bf9fb898ce590c71a4e9d6fac8	AM
Stu_435171aaa070f0f74cc88652429de315	AM
Stu_43ee2b184d8c92e61ec06c725f2a61ce	MA
Stu_45795cae7c16ce259633c256d58134b1	I 
Stu_49a11a7feecc738fdec1540c34d7ab39	I 
Stu_4d446ee893501555d63d754b01c108de	AM
Stu_4fe7468ad538359506d9dd7aa218f9dd	I 
Stu_50bd284d011851ae38e9f11e5f9d4603	I 
Stu_57fc869c08f72ca18ab2b479e1c40192	AM
Stu_5975e6f3cd7adc1ed92ad92168bfa95c	MA
Stu_5ae900a762c9f972dd89983ad79e0438	MA
Stu_5e4c12e011e674b862e9f0ea34b96111	I 
Stu_61870ecfc3aa1291796e258ccbee1114	AM
Stu_660c3d374e1e208d0c780deb579298f5	I 
Stu_67a263bbb74a2020e7565867df19bffa	MA
Stu_67a7a1397f1d82136771277358207dd8	MA
Stu_68aa404e80fc8a982589ad38342238fe	MA
Stu_696047452775e41fd44b9f98000a5d96	I 
Stu_6a17ab9903ecc5292a40b43443df7fb6	MA
Stu_6b27f6f16a1982b5470b7c7cfbe0f3a6	AM
Stu_6cd5c804a185ffc7cab6ea9aa9bdf361	I 
Stu_6d31ee3b8c84d56eea5fb6ad95f7069c	AM
Stu_6e5eb3f599d3a290ddf7ae5661e71712	I 
Stu_72e1a8ccf893427d734947f1a18f6092	I 
Stu_740f2c8ba5facb1bf131bf33db4e8fd0	AM
Stu_743acd3efb114b8aea48c8e25cda0074	AM
Stu_748a7d26aa0a68735da32387e959845d	I 
Stu_7905e6e01a5cd9dcddcd4e713f323f33	I 
Stu_7965f23e8619ead36b5a8f6e5072a5d4	I 
Stu_79ec091e027aaec3982a7a098c22fea5	MA
Stu_7c4d22d19e3ef5a5a3ded1e604808912	I 
Stu_816213180adaae16030996e6deedc794	MA
Stu_854bfe413c798fe33f35cc4f762b3118	MA
Stu_86436532ecd58cb665265b652c6afb07	I 
Stu_865f1a72c8c497f1c80bc42524f91fda	I 
Stu_86a5833a8db3d6c535fba67a0e9eeece	I 
Stu_877bb1bb0eed78c132f70a49ea71c25c	I 
Stu_8b5f5a86fa1efb17480c8e201c497fc2	I 
Stu_90776ceb5960de867fecd386a3c4c645	AM
Stu_9496fa11ac9ee7c582853949fe3b1b20	I 
Stu_960882871223ce32e304738162fd1bb0	AM
Stu_9f543481b2086202ddb930f08d50d1f1	I 
Stu_9ffcb806f02bedf0e978875930baa225	MA
Stu_a03d73a13c7726e8c5ed943f8ba39510	MA
Stu_a07d2054cdd5e798c645447007f377f2	I 
Stu_a1c54cb1872e4421997f47d4b9efb2a4	AM
Stu_a583148911cbf1308958efb355bb431c	MA
Stu_ae3c1f76e60c2287eb91887bae3daa1b	I 
Stu_aea4f3a711ddf4defd946cc4ca631f1c	I 
Stu_b26e4f23d11624fc01032007a17ab4b2	AM
Stu_b8fd43cfe605f34ba7bc7c26b9ca2c1d	AM
Stu_babd2c7b0ef495de5d655cf1ad4c1e90	MA
Stu_bb69cb8d21946074efa63f791dbf9e2b	I 
Stu_be592d1abe60b44576d627e51cd4c914	AM
Stu_bed133a79b8aef0af32f9efdd058702c	MA
Stu_c09f3cb2a3aea14f4097081c78ccd64a	AM
Stu_c2962b59e07a5fe25c18e40759c36fc9	MA
Stu_c42a3234777a4a0bac2510eb0ce7dd68	I 
Stu_c5beabe45e4235e28979e1cf67f5d848	I 
Stu_c9b4162f19dae37d78d5573f7457ecd2	MA
Stu_cb67e9fe78f4f5c2e8de94d33748cda1	AM
Stu_cca7bba9742fcda5574c9d7173684fa0	AM
Stu_cdcb8aabd052f68d4d517ec858f2e023	MA
Stu_d3fd7d00b9dde020bb7bc4a088884482	I 
Stu_d57acd52b5524e40ec2e6ca9c076e2f7	MA
Stu_d9b4800e920159be0a4d9657e7a68d95	AM
Stu_ddff67610d83ebe03db1d50ef9739ca2	I 
Stu_df78d8c7c0d3e5b27d9cc78c1f41e3e9	I 
Stu_dfe2ebb7c1d4cd3f820386f72a27ece3	MA
Stu_e28cea7dc7cd070da92fe7c6bc1e33c2	I 
Stu_e2bb2fb3db14b4438410ee246ca8f413	I 
Stu_e9eba1d5011918f46bf79a782a67cb23	I 
Stu_e9eef145b8b04198eb45d83d1aeccf86	MA
Stu_ea7bf444d712dc6b233b6de114735eba	MA
Stu_eb98163c1feb0b9a0c315451fd5420a0	I 
Stu_ebd02f66c8b59bcdc58ed394f194d639	I 
Stu_efacbbec91a7358aa7791665c4771013	AM
Stu_f059039ff4f9b6c4d5485a53c6f36381	I 
Stu_f1976d6c8cf51cba430572d1838909ac	I 
Stu_f38fd839892523a7e9414ab73fdd5606	I 
Stu_f4bd91259a5098367d6defe427bb9856	I 
Stu_f6290d8572fff75666946a5f17d03d62	AM
Stu_f8dc689ceb4580fb2b77eadbadcf4df1	AM
Stu_fb2225ae05454b07d5dec8b159412859	I 
Stu_fbbb7e20e924d2814d17e850ee656fb8	AM
Stu_fd4eaa3de01491a5abfd108da79fa6f3	I 
Stu_ffd6c5442a01ecca63ba091ef93278d5	MA
Stu_ffddd71a7b83f1735c314e35299d6eb9	MA
