Problem Name	1-6_plus_4-9	1-2_plus_4-5	1-7_plus_5-6	1-8_plus_3-7	4-5_plus_2-3	1-3_plus_2-3	5-6_plus_3-7	1-6_plus_5-8	1-2_plus_4-7	2-6_plus_1-8	3-5_plus_1-9	4-7_plus_5-9	2-3_plus_3-7	5-9_plus_3-6	4-8_plus_2-5	3-7_plus_2-10	4-11_plus_4-5	3-12_plus_2-4	1-5_plus_1-10	6-8_plus_2-7
%(startStateNodeName)%																				
%(convert)%																				
%(denominator_least)%	18	10	42	56	15	3	42	24	14	24	45	63	21	18	40	70	55	12	10	56
%(left_numerator_least)%	3	5	6	7	12	1	35	4	7	8	27	36	14	10	20	30	20	3	2	42
%(right_numerator_least)%	8	8	35	24	10	2	18	15	8	3	5	35	9	9	16	14	44	6	1	16
%(result_numerator_least)%	11	13	41	31	22	3	53	19	15	11	32	71	23	19	36	44	64	9	3	58
%(denominator_pro)%	54	10	42	56	15	9	42	48	14	48	45	63	21	54	40	70	55	48	50	56
%(left_numerator_pro)%	9	5	6	7	12	3	35	8	7	16	27	36	14	30	20	30	20	12	10	42
%(right_numerator_pro)%	24	8	35	24	10	6	18	30	8	6	5	35	9	27	16	14	44	24	5	16
%(result_numerator_pro)%	33	13	41	31	22	9	53	38	15	22	32	71	23	57	36	44	64	36	15	58
