Anon Student Id	Session Id	Time	Time Zone	Student Response Type	Tutor Response Type	Level (Domain)	ProblemName	Step Name	Selection	Action	Input	Feedback Text	Outcome
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:17.318	UTC	HINT_REQUEST	HINT_MSG	fraction_arithmetic	1-3_plus_4-9	1	JCommTable4.R1C0	UpdateTextArea	9	Please enter '9' in the highlighted cell.	HINT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:17.348	UTC	ATTEMPT	RESULT	fraction_arithmetic	1-3_plus_4-9	1	JCommTable4.R1C0	UpdateTextArea	9		CORRECT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:18.221	UTC	ATTEMPT	RESULT	fraction_arithmetic	1-3_plus_4-9	5	JCommTable4.R0C0	UpdateTextArea	3	Instead of the step you are working on, please work on the highlighted step.	INCORRECT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:20.571	UTC	ATTEMPT	RESULT	fraction_arithmetic	1-3_plus_4-9	5	JCommTable4.R0C0	UpdateTextArea	3	Instead of the step you are working on, please work on the highlighted step.	INCORRECT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:22.854	UTC	HINT_REQUEST	HINT_MSG	fraction_arithmetic	1-3_plus_4-9	5	JCommTable4.R0C0	UpdateTextArea	3	Please enter '3' in the highlighted cell.	HINT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:22.867	UTC	ATTEMPT	RESULT	fraction_arithmetic	1-3_plus_4-9	5	JCommTable4.R0C0	UpdateTextArea	3		CORRECT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:23.691	UTC	ATTEMPT	RESULT	fraction_arithmetic	1-3_plus_4-9	11	JCommTable5.R1C0	UpdateTextArea	9	Instead of the step you are working on, please work on the highlighted step.	INCORRECT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:26.822	UTC	HINT_REQUEST	HINT_MSG	fraction_arithmetic	1-3_plus_4-9	11	JCommTable5.R1C0	UpdateTextArea	9	Please enter '9' in the highlighted cell.	HINT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:26.828	UTC	ATTEMPT	RESULT	fraction_arithmetic	1-3_plus_4-9	11	JCommTable5.R1C0	UpdateTextArea	9		CORRECT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:29.100	UTC	ATTEMPT	RESULT	fraction_arithmetic	1-3_plus_4-9	23	JCommTable5.R0C0	UpdateTextArea	4		INCORRECT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:31.879	UTC	HINT_REQUEST	HINT_MSG	fraction_arithmetic	1-3_plus_4-9	23	JCommTable5.R0C0	UpdateTextArea	4	Please enter '4' in the highlighted cell.	HINT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:31.888	UTC	ATTEMPT	RESULT	fraction_arithmetic	1-3_plus_4-9	23	JCommTable5.R0C0	UpdateTextArea	4		CORRECT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:32.800	UTC	ATTEMPT	RESULT	fraction_arithmetic	1-3_plus_4-9	29	JCommTable6.R1C0	UpdateTextArea	9	Instead of the step you are working on, please work on the highlighted step.	INCORRECT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:35.897	UTC	ATTEMPT	RESULT	fraction_arithmetic	1-3_plus_4-9	29	JCommTable6.R1C0	UpdateTextArea	9	Instead of the step you are working on, please work on the highlighted step.	INCORRECT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:38.176	UTC	ATTEMPT	RESULT	fraction_arithmetic	1-3_plus_4-9	29	JCommTable6.R1C0	UpdateTextArea	9	Instead of the step you are working on, please work on the highlighted step.	INCORRECT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:41.699	UTC	HINT_REQUEST	HINT_MSG	fraction_arithmetic	1-3_plus_4-9	29	JCommTable6.R1C0	UpdateTextArea	9	Please enter '9' in the highlighted cell.	HINT
Stu_f808a986-17eb-ad27-551b-835822376059	f5be133e-d111-643e-16ef-b1777a2701c9	2019-01-15 06:15:41.707	UTC	ATTEMPT	RESULT	fraction_arithmetic	1-3_plus_4-9	29	JCommTable6.R1C0	UpdateTextArea	9		CORRECT
