AD convert	AD den3	AD den4	AD den5	AD num3	AD num4	AD num5	AS den3	AS done	AS num3	M den3	M done	M num3	studentid	si
30.0	22.0	19.0	25.0	31.0	25.0	272.0	9.0	18.0	32.0	85.0	14.0	49.0	Stu_042c4b5851700a33a99dcf57043d0ed4	0.97
21.0	15.0	13.0	17.0	21.0	17.0	185.0	6.0	12.0	22.0	58.0	9.0	34.0	Stu_0495714cd367008f18dcb8ea3e996547	-0.25
25.0	19.0	16.0	21.0	26.0	21.0	228.0	8.0	15.0	27.0	71.0	11.0	41.0	Stu_07f4c745e4d86d57da38f36317c286ae	0.35
24.0	18.0	15.0	20.0	25.0	20.0	218.0	7.0	14.0	26.0	68.0	11.0	40.0	Stu_0aacf73e66331579c013beff5683d5e2	0.21
30.0	22.0	19.0	25.0	31.0	25.0	272.0	9.0	18.0	32.0	85.0	14.0	49.0	Stu_1095831603c572ae800eaf23cb8cbc56	0.97
22.0	16.0	14.0	18.0	23.0	18.0	200.0	7.0	13.0	24.0	62.0	10.0	36.0	Stu_10e4f1d248d99d4ee76a1e22dc4d0ca7	-0.04
39.0	29.0	25.0	33.0	41.0	32.0	354.0	12.0	23.0	42.0	110.0	18.0	64.0	Stu_1a4c8ed372b8a79d35c2710295c93129	2.11
30.0	22.0	19.0	25.0	31.0	25.0	272.0	9.0	18.0	32.0	85.0	14.0	49.0	Stu_233a7a6d8b61685c743650325a2f7add	0.97
29.0	21.0	18.0	24.0	30.0	23.0	257.0	9.0	17.0	31.0	80.0	13.0	47.0	Stu_249a61626812d9ce6298cc628a0285ed	0.76
5.0	4.0	3.0	4.0	5.0	4.0	44.0	1.0	3.0	5.0	14.0	2.0	8.0	Stu_25f5affc678d6175d8a5220a9c1b851b	-2.23
16.0	12.0	10.0	13.0	16.0	13.0	141.0	5.0	9.0	17.0	44.0	7.0	26.0	Stu_26825c31ff5c37f3b5f151e563083161	-0.86
32.0	24.0	20.0	27.0	33.0	26.0	289.0	10.0	19.0	34.0	90.0	14.0	53.0	Stu_26bdbe95265a986497459bbc936a2d94	1.21
16.0	12.0	10.0	13.0	17.0	13.0	146.0	5.0	9.0	17.0	46.0	7.0	27.0	Stu_27699b9746520e2279ba9a9f5a3f645f	-0.79
24.0	18.0	15.0	20.0	25.0	20.0	218.0	7.0	14.0	26.0	68.0	11.0	40.0	Stu_2bd87029c015486bc32a15bcbc0e0cf9	0.21
34.0	26.0	22.0	29.0	36.0	28.0	310.0	11.0	20.0	37.0	96.0	15.0	56.0	Stu_30916b4e5ac652e4013a9d3146674330	1.5
24.0	18.0	15.0	20.0	24.0	19.0	213.0	7.0	14.0	25.0	66.0	11.0	39.0	Stu_30c985b8bb49d1bdb5c7e8d0f87cb881	0.14
20.0	15.0	13.0	17.0	21.0	16.0	181.0	6.0	12.0	22.0	56.0	9.0	33.0	Stu_3ee585583f158b9a785c6d83d043cd77	-0.3
24.0	18.0	15.0	20.0	25.0	20.0	218.0	7.0	14.0	26.0	68.0	11.0	40.0	Stu_4011b187a70de7cceec569215aaaf349	0.21
18.0	14.0	12.0	15.0	19.0	15.0	164.0	6.0	11.0	19.0	51.0	8.0	30.0	Stu_408391fd3829dc7845e5e36a9c9c5a00	-0.54
15.0	11.0	10.0	13.0	16.0	13.0	139.0	5.0	9.0	16.0	43.0	7.0	25.0	Stu_41b97b5ad619f2949d8cbaa60a33880f	-0.9
37.0	28.0	24.0	31.0	39.0	31.0	336.0	11.0	22.0	40.0	105.0	17.0	61.0	Stu_43a3130ce11534b00f7e53043ffb1827	1.87
33.0	25.0	21.0	28.0	34.0	27.0	299.0	10.0	19.0	36.0	93.0	15.0	54.0	Stu_44473d098c938a6acd510af985da8c09	1.35
11.0	8.0	7.0	9.0	11.0	9.0	97.0	3.0	6.0	12.0	30.0	5.0	18.0	Stu_488139ba565654f3ae0817c9dfd521d8	-1.48
25.0	18.0	16.0	21.0	26.0	20.0	224.0	8.0	14.0	27.0	70.0	11.0	41.0	Stu_48d6541ae328cd6f0a7d8508b7f4c2ff	0.29
22.0	16.0	14.0	18.0	23.0	18.0	200.0	7.0	13.0	24.0	62.0	10.0	36.0	Stu_4a3ef135bbe2c2caa59247795f44f843	-0.04
22.0	16.0	14.0	18.0	23.0	18.0	196.0	7.0	13.0	23.0	61.0	10.0	36.0	Stu_4b7a38c5c8c6c3be703b5209c9328537	-0.09
23.0	17.0	15.0	19.0	24.0	19.0	209.0	7.0	13.0	25.0	65.0	10.0	38.0	Stu_4c59f254b9636c8868d47589e3fe7bed	0.08
17.0	13.0	11.0	14.0	18.0	14.0	155.0	5.0	10.0	18.0	48.0	8.0	28.0	Stu_4ef62b88ccb918f166cabf0729e4dd43	-0.67
23.0	17.0	15.0	19.0	24.0	19.0	211.0	7.0	14.0	25.0	66.0	10.0	38.0	Stu_4fd76e28788bbeadef09f0908c493daf	0.11
22.0	16.0	14.0	18.0	23.0	18.0	200.0	7.0	13.0	24.0	62.0	10.0	36.0	Stu_54d14ca109866d98767437cd67beb2ed	-0.04
2.0	2.0	1.0	2.0	2.0	2.0	19.0	1.0	1.0	2.0	6.0	1.0	3.0	Stu_5f1ba76dd2da792faaba6c5f396fd96e	-2.58
12.0	9.0	7.0	10.0	12.0	9.0	104.0	4.0	7.0	12.0	32.0	5.0	19.0	Stu_61537c177642e2db03cb80cc5a4c8de9	-1.38
32.0	24.0	20.0	27.0	33.0	26.0	289.0	10.0	19.0	34.0	90.0	14.0	53.0	Stu_67b8c5d44a251f3d2e3eb90c56ce7409	1.21
24.0	18.0	15.0	20.0	25.0	20.0	218.0	7.0	14.0	26.0	68.0	11.0	40.0	Stu_68dafb32bad48815374a56c476490d55	0.21
29.0	21.0	18.0	24.0	30.0	23.0	257.0	9.0	17.0	31.0	80.0	13.0	47.0	Stu_711f76c33cd66ea9923b8a7c7d47ec77	0.76
33.0	25.0	21.0	28.0	34.0	27.0	299.0	10.0	19.0	36.0	93.0	15.0	54.0	Stu_71cfd0e01957580d8f6b5cdbf588910b	1.35
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Stu_732ee0f1834543cb9633e7e488237522	-2.84
11.0	8.0	7.0	9.0	11.0	9.0	100.0	3.0	6.0	12.0	31.0	5.0	18.0	Stu_75ddeff8a59dfcfb52bea555efdb2a20	-1.44
