Problem Name	AD 1_8_plus_1_3	AD 1_4_plus_2_7	AD 2_5_plus_1_6	AD 3_7_plus_4_9	AD 1_7_plus_3_4	AD 1_9_plus_2_5	AD 1_6_plus_4_7	AD 1_7_plus_2_3	AD 1_8_plus_6_5	AD 3_8_plus_4_9	AD 3_4_plus_4_7	AD 2_5_plus_5_9	AD 1_6_plus_3_5	AD 3_7_plus_4_6	AD 2_5_plus_3_4
%(startStateNodeName)%															
%(left_numerator)%	1	1	2	3	1	1	1	1	1	3	3	2	1	3	2
%(left_denominator)%	8	4	5	7	7	9	6	7	8	8	4	5	6	7	5
%(right_numerator)%	1	2	1	4	3	2	4	2	6	4	4	5	3	4	3
%(right_denominator)%	3	7	6	9	4	5	7	3	5	9	7	9	5	6	4
%(operator)%	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
%(convert)%	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
%(result_denominator)%	24	28	30	63	28	45	42	21	40	72	28	45	30	42	20
%(left_numerator_new)%	3	7	12	27	4	5	7	3	5	27	21	18	5	18	8
%(right_numerator_new)%	8	8	5	28	21	18	24	14	48	32	16	25	18	28	15
%(result_numerator)%	11	15	17	55	25	23	31	17	53	59	37	43	23	46	23
